Sentiment,Tweet
negative,@united Please msg me a # for customer service. I will have an invoice for my dry cleaning but won't be able take wet clothes to the airport
negative,@USAirways worst customer service. Still not providing me an answer even after I drove back to CLT airport. been rude &amp; unacceptable #fail
neutral,@JetBlue hi I flew with your airline once in Australia and saw zero kangaroos. Had this been rectified
neutral,@united I6EP18
negative,@JetBlue so why do you put this at the bottom of ur baggage report? For fun? #JetBlue @airlinequality #skytrax http://t.co/tU9JX2jaZN
neutral,"@united @scotthroth scott, need a good book suggestion?"
positive,"@USAirways thank you! It's # 1875 from BWI, keep seeing different stats, from delayed to awaiting take off to delayed..."
positive,"@SouthwestAir appreciate the reply, hopefully those LAX agents get the memo. Cheers!"
negative,@JetBlue is REALLY getting on my nerves !! 😡😡 #nothappy
negative,"@united sure, but 8 different texts changing time &amp; gate (especially locations across the entire concourse). That just seemed a little off."
positive,@JetBlue thank you for the refund of the change fee for a recent flight affected by our bizarre winter. Excellent customer service and focus
negative,@AmericanAir at LAX and your service reps just hand out the 800 number to call. So that's not helpful.
negative,"@SouthwestAir, a complete horror show. Flights bumped three times today, before noon, not how to run an airline. #cantblametheweather."
negative,"@AmericanAir AA agent said I repeated myself when I was explaining. I told him ""I understand English."" His reply?""Our conversation is over."""
negative,@USAirways have been waiting in an airplane for a total of 3 hours to take off between 2 flights today...this usually doesn't happen...
positive,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!
neutral,@USAirways AA Gate Supervisor emplid 600117 allowed flight AA67 to leave JFK to SJ on 20feb15 w/o 8 customers that made final boarding call.
negative,@united Not encouraged that I'll have my CPAP tonight.
positive,@SouthwestAir thank you! ❤️❤️❤️ you guys!
negative,"@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving, have to wait"
negative,"@SouthwestAir Sort of, but I'm arriving a day Late Flight and have to incur overnight costs in a connecting city. Not cool at all..."
negative,@USAirways you guys suck at JFK tonight -- oh this MORNING!!!
negative,@united Stuck in IAD going on 6 hours waiting for a ferry flight from Nashville that u can't tell when it will arrive?!! Ridiculous!!
negative,"@VirginAmerica Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?"
negative,@USAirways Flight 4210 been sitting @Bradley_Airport gate 27 for 10 min w door open since we arrived. Still no jet bridge. Can someone help?
negative,"@AmericanAir long mait. Repair wait at gate - Capt Said ""paperwork formality""- forced to check bag rudely-returning CC reader doesn't work"
negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
positive,@JetBlue gr8 #Mint crew on #flight 123 to #LAX they're #Mintalicious #TrueBlueLove #ShelleyandMarcRock #travel #air
neutral,@JetBlue 108 to Portland Maine
negative,"@USAirways Yes, it's February. Bad weather happens every winter. If you guys don't have the business sense to forecast that I'm at a loss."
negative,@USAirways why aren't you updating flight status/delays?
neutral,@SouthwestAir will do. Thank you.
negative,@united nice to know that 3 hours of my time is worth $7.99. Free DirectTV for everyone! Ever hear of preventative maintenance?
negative,@AmericanAir due to gate agents I missed my connecting flight to Mexico City...not a happy customer AA- let's correct this
negative,@united has made my no fly list. Other airlines wait when connector Late Flight. Stuck in IAH.
negative,@SouthwestAir All I requested was a refund of my Reward Points that I used to purchase the flight and he refused.
negative,@usairways I've been on hold for approaching 2 hrs for an issue when I changed my ticket online. Frustrating.
negative,@AmericanAir @NY_NJairports Do you guys teach poor customer service or is it just part of an american dream?
negative,@SouthwestAir you need to redeem yourself. I lost respect for you tonight #lostbags #filmjobnoequipment
neutral,"@JetBlue Thanks, it's for next weekend though so my guess is it will only go higher."
neutral,@SouthwestAir Can you please follow so I can DM? Thx!
positive,@SouthwestAir All's well. I got comped with multiple other bags which just made my day! http://t.co/1AAVvoREpH
negative,@united you have a culture issue
negative,@JetBlue seriously?? What is going on?! http://t.co/mTHM9waObu
neutral,"@AmericanAir Considering it was past midnight, I hung up and called again to receive another service call."
neutral,@JetBlue well I'm not sure I'm that bold! lol or are you saying you didn't believe me?? :P
positive,@SouthwestAir once or twice a year. Hard to get vacation time from work sometimes. But love flying with you guys!
neutral,"@AmericanAir travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago #deice"
neutral,"OMGee!!! @JetBlue #OnFleek Why @JetBlue Why?!? 😭😁😆😵 How many people even know what that means, lol?"
negative,@united 50 min on hold trying to book award flight because site errors out.  Agents ask for my pin to see platinum availability??? badbadbad
negative,"@JetBlue @martysg you *know* how I love you, JB, but honestly, when you have complex feedback, those pull-down sub-option forms=maddening."
neutral,@AmericanAir can I redeem AAdavantage miles on LAN flights?
negative,@USAirways I have never been given a number for elite for usair. Only AA. I waited for 3 hours for an answer and by then my seat was gone.
neutral,@JetBlue .. { it's all a320's right?}
neutral,@usairways Is it possible to Cancelled Flight my reservation online?
negative,@USAirways I wish we were on our way. Now there's a problem w/de-icing.Three &amp; 1/2 hour delay so far &amp; sill not sure if we'll be taking off.
negative,"@SouthwestAir 2 hours on hold trying to reschedule Cancelled Flightled flight. Hold music stopped, but no one's answering. How can I reach a rep?"
neutral,@united can you change DKYDE6 to 4583&gt;36 on 2/23 instead of 3636&gt;606&gt;36; original reservation was for 4404&gt;36 yesterday but was Cancelled Flightled.
negative,@AmericanAir We all did! Skipper's walk-around too :(
positive,@SouthwestAir sign me up!
negative,"@united even after running to gate from your connecting flight, your customer service not let us in the plane that was just parked. Stranded"
negative,"@united ok so what is being done about my experience? My family had a terrible experience for $1,200. It's kind of like being robbed.Explain"
negative,@SouthwestAir why did you book my hotel twice?!?! Ahhhhh
neutral,"@JetBlue If there's a schedule change on my tix, can you change the the destination airport to a sister airport (like EWR and JFK)?"
neutral,@JetBlue what is the name of this tailfin? http://t.co/qxV45MV0Ug
negative,"@united What happened this afternoon? Huge amt of incoming planes to SFO delayed over 1-2 hours.
Frustrating!"
neutral,@united done
positive,@united it's amazing really.
negative,@USAirways worst experience ever!!!!
negative,@united when a 2 hour flight turns into a 3:30 ordeal...sigh
negative,"@united thanks for the offer, but I finally made it to my destination, albeit hours Late Flight."
neutral,@USAirways sure did. I have carried this bag on numerous times on the same style plane. Planning accordingly apparently accounts for nothing
positive,@USAirways ok thanks
negative,@USAirways the plane i am on is having mechanical issues. Why cant i get off and get on a new flight? Now i have missed my connecting flight
negative,"@USAirways Already planning my local boycott for Washington, D.C. Area."
neutral,@JetBlue Does your home airport not count in the badge system? My TB account says 2 flights but I've taken 3 this year.
negative,@united you are terrible.
positive,"@JetBlue no, but we're on the flight leaving from Boston to Seattle right now. :) flight 597"
negative,@SouthwestAir @dultch97 that's horse radish 😤🐴
neutral,@united can you send me another confirmation email?
neutral,@united A Tourist Wonder: Super Tides and Tide of the Century at French and U.K coasts: http://t.co/gXdqORtsS0
negative,"@JetBlue For one way, not letting me select TO city....strange...and now some fairs look ""normal"" ????"
negative,@USAirways anyone there to help? Still on hold...
neutral,@united We invite to Fallow @HelacoHLC learn about our activities.Prevention Programs of Health by Condom-Rito Family.We R 501(C)(3)Thanks
negative,@united look at all the delta flights that landed while your pilots claimed they couldn't fly 6232 to JAC. http://t.co/6Kp4m0R1f7
neutral,"@JetBlue's CEO #pilots among ardent fans, Wall Street - Poughkeepsie Journal http://t.co/zSdGzyDNDe"
negative,"@United is officially the worst, most delayed, and least helpful airline I have ever had the misfortune of flying on"
negative,@SouthwestAir Adding RR number to a @Marriott stay is too hard. Won't take RR number at checkin/out and Marriott phone CS not helpful.
negative,@united I send an email about my bad experience and you send back a generic response.  Yet another reason why I'll never fly with you again.
negative,.@USAirways Can't book a flight online or over the phone. Your customer service is usually great -- anything you can do to help?
negative,@united has happened on other airlines and they've given out flight vouchers and been more transparent about the problems.
negative,@USAirways sitting here in PHL with all of your rude Customer Service Agents!
negative,@AmericanAir stuck in airplane both on way out of PHL and again in Houston. All passengers frustrated. Makes me want to avoid airline
neutral,@SouthwestAir we are trying to go as far away from King'sCollegeLondon as possible for charity today. Would you help us ? #jailbreak #RAG
negative,@USAirways thank you so much for asking us to pay $700 to switch to a different flight so I could spend more time with my dying nephew.
negative,"@USAirways Just discovered that they billed us $300 for the rescheduled flight, which cost me a second day of lost work."
positive,@united flight 1491...plane from SFO to DEN is basically on time.
neutral,@AmericanAir it looks like a mistake
negative,@AmericanAir Hands down the worst airline to travel with. Really really fucking bad.
neutral,"@united Does the economy plus cabin also qualifies as a ""premium"" cabin?"
negative,@united 4840 You knew this flight was delayed! MHT to ALB to EWR to get crew. Your arrival is Late Flightr than the departure! Update your site!
negative,@united I've been waiting on my bag in IAH for 45mins.  They're only 4 freaking people on that flight waiting for bags.  Fix this!!
neutral,@united please upload the March on-demand entertainment listing on your website! ✈️
negative,@united customer service what's That???
positive,"@JetBlue what are the chances of actually flying out of Charleston today?? Cold, rainy weather in the south of all places..."
neutral,@AmericanAir any delays on tonight's flight from DFW to SAT? I have family members on board.
neutral,@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao
negative,@USAirways I've been trying for DAYS!  And I don't get hung up on until after I get through all the prompts.  What am I to do??
negative,"@AmericanAir third you lost her bag &amp; after 50 mins of being on hold you told her she would ""eventually get her bag"" completely unacceptable"
negative,.@united call my work and tell them it's your fault I'm Late Flight
negative,@AmericanAir you have said the same thing to me over and over again but phrased differently. How about some actual help?
negative,"@AmericanAir Last thing I want to deal w/ before 8 on a Mon! I've already waited the suggested wait time, so I hope I get a call back ASAP."
negative,@SouthwestAir if you guys fuck this up again  I will never forgive you
negative,@USAirways so you're not honoring miles with @united that were traveled last year?
neutral,@SouthwestAir any deals to orlando in April/may??
negative,@USAirways There isn't a ticket number...the transaction is still pending.
negative,@JetBlue just a very rude rep while trying to book family vacation using trvl credit. on phone w/ new rep now who is being very helpful
negative,@USAirways Sitting on the runway at phl for the last 30 min because the correct weights for the flight aren't in the system? #jobfail
neutral,"@JetBlue traveling w/ a rifle for a hunting trip, can a pistol be in the same large rifle case too? Wasn't clear in freq asked questions"
negative,@JetBlue Flight 69 (ha!) - one employee said they were reassigned another said they just left. I just want some warm weather!
negative,@AmericanAir this is ridiculous! You all really have terrible customer service and a lack of urgency. Im convinced.
positive,@JetBlue Thank you. I really would have preferred Jet Blue. You guys have the best seats in the business.
negative,@USAirways  Three months and my miles haven't been credited.  No one is going to read the email I sent.
negative,@SouthwestAir RUDE gate agent. Wholly unacceptable to us &amp; other passengers. Think this will be our last time on sw.
negative,“@united: @mllovelace The baggage fee is waived for Premier members. Please see http://t.co/u6Duw27mDE. ^JP” what's the point of membership?
negative,@AmericanAir #customerservice. Sitting on my fourth plane today with a mechanical problem. No excuses for this. Tough to be loyal.
negative,@USAirways I've tried calling 3 times the past 3 days and I keep getting told to call back. SOMEONE PLEASE HELP ME
neutral,"@SouthwestAir okay thank you :), also I did get a tweet earlier about 1.5 hrs ago saying I won &amp; should send a DM but then it was deleted?"
negative,Reply to @united - Doesn't do any good to check outlets preflight when moved to different equipment after boarding due to malfunction.
negative,@AmericanAir Any info for Cancelled Flightled flight 1046 tomorrow morning out of DFW? Can't get calls through to speak with anyone.
negative,@USAirways Cancelled Flightled due to maintenance. The plane was there for 10 hours. Get your shit together because there are a lot of people unhappy.
negative,@USAirways You have Cancelled Flighted our flights 5 times over the past 3 days...and the experience has been the worst...never again...
neutral,"@JetBlue may I check my 17-month-old child's fold-up crib for free on my flight tomorrow, similar to your policy for infant car seats?"
negative,"@united Also, your phone customer service is almost useless. http://t.co/Mb3bJwGOAp"
positive,"@united Just did, thanks for checking! :)"
negative,"@AmericanAir whenever I cheat on you it goes horribly wrong! I promise, I won't stray anymore. I'm talking about you @Delta!"
positive,Then you better #HoldOn - #EverythingsGonnaBeAlright @jetblue 4 our #brandloveaffair https://t.co/64kN6GEEP8 #TrueBlueLove #travel #business
negative,@USAirways oh yay! Now gate agents decide not to deal with upgrade list and just bump up whoever is closest.
negative,@united what is this subtlety gate changes? Are you kidding with me?
negative,@JetBlue Your scheduling skills failed. The delay went from four hours to nearly six. Don't tell me you were snowbound in PBI.
negative,@united 1 hour since boarding began and we're still sitting at the gate.  #UA507
negative,@AmericanAir don't worry you won't steal my money again
negative,@united 2nd flight in two weeks that you have lost my bag!  Taking my 1K status to @AmericanAir #neveragain #WORSTCUSTOMERSERVICE
negative,"@USAirways really, so what does that mean??? #usairwayssucks"
negative,@united at this point I made it home on my own.
negative,@AmericanAir I'm still patiently waiting for a response to my complaint email on Fri. What is the normal response time?
negative,@AmericanAir i was spoken 2 like I'm an idiot and that is not OK!! I don't need to deal w/ that esp after the travel experience I've had
negative,"@SouthwestAir prove it, Cuz the southwest people here don't even know why it's behind schedule."
positive,"@VirginAmerica classiq, luv Virgin America. Greetingz"
positive,@united Life goal: complete ✔️
neutral,@USAirways @AmericanAir I need to move a reservation due to weather in the middle part of the U.S.  I would like to change departing airport
positive,@SouthwestAir when are you releasing your flights for September? Just found out you fly direct lbb to las! So excited! #tripofalifetime
negative,@USAirways now over 2 hrs. Can't wait anymore. 2 hrs for nothing. Now what?? #frustrated #USAirways http://t.co/BuwjTVUWKM
negative,@united I wasn't asking for a full refund but delaying me 3 hours and giving no reason should be enough to give partial credit
negative,"@united nonrefundable, hence I wrote $200! Doesn't make sense for my 150 credit. #nothanks"
neutral,"@USAirways Can you help with a seat assignment?  5 people flight 694, PHX to HNL, seats are split up.  Anything you can do will be great."
neutral,@USAirways oh they saw it and said nothing.
negative,@JetBlue no seat assignment 5 mins before a flight...line 20 people deep. Guess I'm sitting with the baggage? @MarinaDomine
negative,@united so you are saying that customer care does not report to anyone? Their response is humiliating for a company that serves the public.
negative,@united How do I get reimbursed for hotel and taxis for the Cancelled Flightation?
neutral,"@SouthwestAir I understand. Wonderful ""Miriam"" in customer service who was able to reroute me... Got any rental car discounts?"
neutral,@united question. Are departure times based off eastern central time or the time zone your actually in?
neutral,"@JetBlue Hello Good afternoon how are you, I need know how much flying for summer from june 13th."
negative,"@AmericanAir I had it until last night, but because ""severe weather"" I could make the needed changes and now fair goes up 150 each."
negative,@VirginAmerica Site down? #help
negative,"@united dropped off a luggage at IAD over 2 months ago for repair from damages haven't heard anything about it since, when do I get it back?"
neutral,@USAirways can you add my KTN to an existing reservation?
negative,@united please provide update on UA 791. This flight has been stranded by united with no information from the crew on the plane.
negative,@SouthwestAir your phone lines suck. I have a dilemma.
negative,@united Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.
negative,@USAirways any tips on getting a hotel that your airline won't get for any of us even though we were told that we'd make our flight?
neutral,@USAirways But good luck getting there! Not cool.
negative,"@united my flight was at 1 pm. Still at the airport gee what service.  Do they care, nope.  Delayed until 7:55."
neutral,"@SouthwestAir briughy me to @ComClassic, #AIF2015 &amp; so much more with the #agcommunity"
negative,"@united it's 9:56, and the desk attendant stated we would ""sit awhile"" until given the all clear. Lack of communication seems to the norm."
negative,@AmericanAir the app doesn't allow Canadian address. I used the mobile Canadian site and it will not let you select a passenger.
negative,@USAirways Some of my 4 kids are anxious. Husband and I can't sit with all 4 with current setup. No warning that our 6 seats changed.
negative,@SouthwestAir   Yes. Dale at Baggage office was wonderful. But not everyone is on the same page down there... We had a 6 hour wait!
neutral,@SouthwestAir #DestinationDragons Any word on winners of contest? Any chance for tix for the Provo DestinationDragons show? Fingers Crossed!
negative,@USAirways what's the deal with the flight computer network?
negative,@united UA647 heading back to gate bc improper load? if ur packing us to the gills should at least take care to load bags. expecting comp...
negative,@SouthwestAir I tried again with your in-flight wifi #fail
negative,@SouthwestAir  3 flights yesterday; no treats but nuts and pretzels. Also no origami in the magazine. New policies? #OldPoliciesWayBetter
neutral,@SouthwestAir please....can I have the last tickets for me and my best friend to #DestinationDragons http://t.co/eQqi1nfSZh
neutral,"@united The guidelines say 10x9x17, my bag is 20x15.7x8.7, so it's a bit taller than the guidelines. Is that gonna be a problem?"
positive,@SouthwestAir I love this airline so much! Thanks so much! The service is great! The snacks are amazing! Everything is outstanding thanks!!
negative,@united plz don't advertise wifi if it's not gonna work thanks #worstflightever
negative,@AmericanAir is there any way you could put me up in a hotel for the night?? If not I'm having to sleep at the airport again tonight.
negative,@AmericanAir … Been trying to book a whole new flight since 2 hours!! what is wrong with your website?
neutral,@SouthwestAir i like to see if i can change flight plz help thx
negative,@united how about after 2.5 hrs at ORD another .5 on the tarmac + refuse to move me to an earlier flight you make it up to me? #iflyalot #bs
negative,"@AmericanAir @emxlyy ""The wheel was broken when we got it. We swear."""
negative,"@united So publicly you asked for details on my flt. Sent you a DM, like you asked, and have yet (2 days) to hear from you. #unitedfail"
positive,@united just got my lost Kindle in the mail! Thanks again.
neutral,@SouthwestAir how do I get a companion pass
negative,@USAirways Does your company see passengers as customers or just $$$?
negative,@united Worst customer non-service for sure!
negative,@AmericanAir thanks for finally letting me get through to book my flight. Frustration  set in... #donedeal #talktoahuman
negative,@AmericanAir I do not need an apology. I need you to fix it in a competent manner.
negative,@JetBlue continuing you record of never having a flight leave on time. Add up how much time with with my family you have cost me. #jetblue
neutral,@SouthwestAir hey southwest! Help me find a flight from Nashville - Washington DC or Raleigh for under $150 on March 15 please!
negative,@SouthwestAir how about when there are Cancelled Flightlations you just have a link to rebook like you did for initial storm issues?
negative,"@AmericanAir lost 3 pieces of our bags, haven't delivered them in 36 hours, lied that they were delivered, and still no refund.  Never again"
positive,@united maybe on my return trip 👍
neutral,@SouthwestAir so when do we find out who won the imagine dragons contest?
negative,@united Thanks.    This one was delayed an hour and a half prior to scheduled departure.
negative,@USAirways   my miles will expire on 2/29 and it could take someone 10 days to respond...I have over 150000 miles that I do not lose i❤usair
negative,@united 2 days and 3 planes with mechanical issues?  Now over 1.5 hrs Late Flight sitting on this plane. This is insane!!
negative,@AmericanAir @USAirways and the way I have been spoken to by #DFW and #Mia employees is truly disgusting. Save the pain fly with anyone else
negative,@USAirways you have most likely lost my business. Terrible experience! Too many times stuck on Tarmac and last min Cancelled Flightled flights. #Done
negative,@united how long will it take for miles that i re-purchased (they had expired) to show up? I recieved an email that the request had been..
negative,"@united thanks for delaying my flight for an hour, and then boarding us onto a flight that REEKS of vomit because it wasn't cleaned properly"
negative,@united DEN-PHX flight tomorrow Cancelled Flighted. Asked for overnight 2nite in LAX/SNA. Told not without paying. That's wrong
neutral,@JetBlue Maybe I'll just go to Cleveland instead.
positive,@SouthwestAir has the smoooothest flight attendants. #SouthwestSmoothie http://t.co/Vr9k180LaI
positive,"@AmericanAir Thanks guys, you got it. I'm heading to Milan on Wednesday, so big week with the AA family :)"
negative,@AmericanAir does not know the meaning of customer service. Nightmare. Paid for direct flight. Bumped to Dallas. Flight Cancelled Flighted. Terrible
neutral,@united 4 open seats in 1st class on UA 2065. Way to honor your upgrade policy for freq flyers and/or honor an employee with an upgrade.
negative,"@united Your ""Loyalty Team"" basically flipped me off via phone, but thanks. Maybe Google ""loyalty"" and get back to me? ^LOL"
positive,@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin
negative,@united you need a bag bouncer. Get it together
negative,@USAirways ...be found when he checks in. Now no info. Please DM me and help me fix this NOW. (3/3)
negative,"@SouthwestAir Sorry to bother you, but I've been on hold for more than 2 hours and 30 minutes. Should I continue holding? Or call back?"
negative,"@united yes, supposed to be here by 6PM. I have a Board Meeting tomorrow. Fingers crossed."
neutral,"@USAirways I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
neutral,@united what gate is ua5396 leaving from?
negative,@AmericanAir our flight was Cancelled Flightled and rebooked to United. You didn't give them accurate ticket number now we can't check in. #annoyed
negative,@united silence is very telling
negative,"@USAirways wow this airline is a joke, absolutely horrendous customer service. you guys should be ashamed."
negative,@USAirways thanks for letting me know of the 12 hour delay and 2 hours on hold ?
neutral,@SouthwestAir Can someone rebook me? Please direct message me.
negative,@USAirways how do I get thru on hold 3 hours 5 minutes . Is this normal ? My call is lost
negative,"@united just sent you a message on Facebook, how do I follow up a complaint re. Missing clothing out of checked baggage?"
positive,@SouthwestAir thank you :)
neutral,@united please update what is going to happen to passengers now that flt ua14 has been Cancelled Flightled
negative,@AmericanAir why arent callings going thru it doesnt have me wait or anything and automated stuff is messed up
negative,"@united You can't control turbulence, but you can control customer experience, lot of scared people up here."
negative,@JetBlue hopefully this flight Seattle to Boston 2pm will have wifi. Our first one did not and we had to entertain ourselves! #lizaapproved
negative,"@united Not to belabor my point,but shouldn't I be able to put a laptop bag above my seat?  Why is it announced to leave it for rollers? Thx"
negative,"@AmericanAir I understand that, but I'm not even being put on hold - it says ""try again Late Flightr, goodbye""."
positive,@JetBlue thanks for bringing my son home to me.
negative,"@AmericanAir My reservation is on hold, not me.  Wish I was on hold but that's not possible with the phone issues at #americanair"
negative,"@SouthwestAir  we understand air delays which are out of your control, terrible telephone support, apps and online access that do not work??"
neutral,@JetBlue Can you do me a huge favor?!🙏❤️
negative,"“@USAirways: @alan_bledsoe Thanks for your feedback, Alan.” Thx, but  no help as I watch a flt Lve w/open seats and I wait 3hrs for nxt flt"
negative,@united I travel a lot and I get it. You're still my fave but EWR to Cleveland w/40 min layover to connect to DC = our best option? Come on.
negative,"@AmericanAir AA2334 Second week in a row delayed, due to mechanical issues. All the sleet outside and yet we're stuck changing a tire"
negative,@United is the worst major US airline.  More proof: they're boarding the plane with the outside galley door open in 0 degree weather.  Wtf?
positive,@SouthwestAir @FortuneMagazine Love flying Southwest! Best flight attendants ever!
positive,@AmericanAir I love your company and your staff is amazing. They just made an uncomfortable situation comfortable
negative,@united has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.
positive,@USAirways They were breathing very heavily. but were super helpful. Thank you.
negative,"@SouthwestAir Yo, I'm trying to make a change to a reservation but whenever I select the flight it says, ""Unable to price"". Please help!"
negative,@united I would like your baggage damage number as well! Another great thing from your 'trained' staff! Whats the number please.. Claim time
negative,"@united I'm trying to get to my final destination, we need compensation. Just about 2hrs of personal time wasted."
neutral,"@JetBlue Hi there, any rough idea of when January 2016 flights will be made available?"
positive,@SouthwestAir I got it added thank you! :)
positive,@united love the new 1st class breakfast!
negative,"@united (2/2) It suggests that if can't confirm cert at time of Flight Booking Problems, I should assume that it may never clear. Didn't used to be that way"
negative,@southwestair Thanks. Yes I got through. Biggest frustration is that I'm no longer able to check in online for my flight after 4 Cancelled Flights.
positive,"@united After an hour+ wait, my issue is resolved. I did contact customer service to comment on the wait time. Thanks for contacting me."
negative,"@united Can someone assist me with my DM's? Waiting 1 hour on phone, 2 hours on Twitter."
negative,@AmericanAir I’m still waiting - this has been going on far too long. Is there someone I can speak to?
negative,@USAirways Now the next plane had a broken seat!  My row!  Another hour delay!  #mad
neutral,@JetBlue is there also a way I can get a printed one for my records? I keep them whenever I fly ;)
negative,@USAirways I will write CR. Not sure what good it'll do as the customer service I experienced was horrible.
positive,@USAirways  Lilly M in SJU check in is fabulous!
neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
negative,"@USAirways 24 hrs Late Flightr still not home. Hotel, rental car etc with a 5 yr old, what happened to ""customer service is our first priority"""
negative,"@AmericanAir can lie to you about where your lost bag is, but we are suppose to trust them with our lives thousands of feet in the air..."
negative,@JetBlue I've used you guys for 10 years but after this experience I will NEVER EVER use you again.
neutral,@united There is only one club at LAX  - in terminal 7 across from gate 71
neutral,"@AmericanAir I can DM it to you, if you follow me"
negative,"@united I'm aware of the flight details, thanks. Three hours Late Flight a crew that could not give less of a shit"
positive,@USAirways Thank you.
neutral,@JetBlue @pilyoc dont talk about my friend @JetBlue like that. #thefutureisweird
neutral,@AmericanAir is flight 2413 to LA delayed?
negative,"@USAirways ur specialist said they would talk to the stewardess about not serving drunks drinks, REALLY how does that help"
negative,@united stay more than 24h traveling ans sleeping on the airports floor
positive,@united thanks. Just a program comment; the system assigned seats behind each other even though pairs were available. I changed it back.
positive,@USAirways DOMINICK L. at La Guardia airport NYC gives the absolute best customer service! Thanku! Checking in made easy!
negative,@SouthwestAir thinks that a $100 voucher makes up for spending 4 hrs on a plane and landing at the same airport we took off from. Really?
negative,"@united Call customer service and of course they just say ""theres nothing we can do"" and then offer a transfer and disconnect the line."
negative,@united mechanical delay occurred in Houston earlier today re: their flight to ORD
positive,@AmericanAir if I could fly an md80/dc10 I would be so happy I live that plane so much md80 is love md80 is life.
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/clu5pdPrHP” :(
neutral,@united doesn't purchasing ticket with a united card give me priority boarding ?
negative,"@USAirways 1,223.22 of unusable funds. Will not book with you again. #usairwaysfailscustomers"
negative,@united I assume that would be for the other 300 people who have been let down by United? What's worse is plane is here but crew can't fly!!
positive,@SouthwestAir /I really love your customer service Lou Ann in Phx rocks. Thanks SW. #be Ourguest
neutral,@JetBlue alright.
negative,@AmericanAir why would I pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?
positive,"@USAirways I know that, thanks. Evaluate further ;-) ... -Chairman"
neutral,@VirginAmerica way to take advantage of #MayweatherPacquiao :)
neutral,"@SouthwestAir I'm scheduled to come back tomorrow, finally but I don't know SWA hasn't flown out of @Fly_Nashville yet but @Delta has"
neutral,“@SouthwestAir: @saysorrychris Can you follow back for a quick DM? ^SW”followed
neutral,X__x RT @JetBlue: Our fleet's on fleek. http://t.co/xxppZo88j1
negative,@USAirways Stop reposting same autoresponse  That was return flight home #imateacher. Couldnt get to RSW  #neptune#waivethefee #notmyfault
negative,"@SouthwestAir yes, very much so! I was looking forward to using your airlines for future flights but never again."
negative,@USAirways and apologies are thin when you don't even offer hotel vouchers to your stranded customers.
negative,@SouthwestAir stop Cancelled Flighting my flight I have US history tests to take and chemistry things to learn do you not understand!!!!!!!!!
negative,"@united -- overFlight Booking Problems planes, Departing delayed, Returning for 'more quick fixes' &amp; breaking out attitudy-customer service? #worstairline"
negative,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
positive,@JetBlue thanks. We are ticketed on stand by for flight 1970. I hope we make it out. Fingers crossed
negative,@united Gold Star for united- change my flight- miss all connections- but can't accommodate me until a MUCH Late Flightr arrival time-Not HAPPY!
positive,"@SouthwestAir flight 3970, bna-rdu had the most excellent crew today"
positive,@americanair @bershawnjackson big UPS to Newark airport staff &amp;&amp; D.Dean. I was also treated lovely while I was in town. ❤❤
negative,"@USAirways   US AIRWAYS DON'T CARE FOR CUSTOMERS. Worst experience today with US airways.. Myself, wife and toddler"
neutral,"@SouthwestAir $192 rndtrp 4/30-5/5 ""@DJQ_KC: RT @djimpact: If you're trying to make travel reservations for Vegas on May 2nd it's too Late Flight"""
negative,"@AmericanAir one of my luggage didn't made it onto my flight, hope it really gets here tomorrow, as I was told 😓😭"
negative,"@JetBlue hey awesome peeps, what's up with flight 1159 from Boston? Delayed 3hrs?"
neutral,@USAirways &amp; @AmericanAir: 1 flight Cancelled Flightled yesterday and now a delay today has robbed my daughter of 2 days with her grandparents. Thanks
negative,"@JetBlue making a bad situation worse. Cancelled Flighted flight, making us stay overnight in SXM. Won't provide vouchers to stay in a different hotel"
neutral,@AmericanAir airport to figure this out or can someone tell me now? Flight is from San Juan to San Diego
neutral,@JetBlue Airways Lowered to Strong Sell at Vetr Inc. (JBLU) - Mideast Time http://t.co/yMMH9k4CBr
negative,@USAirways So far....my phone wait time is longer than @ABCNetwork's #Oscars coverage. #WhatCustomerService
negative,@united flight ua90 is taking off now after 1750 was delayed over 4 hrs 30 passengers to miss their flight to tel aviv
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/3Ltx7JKBo9” is fleek dead yet now?
negative,@JetBlue what's up with the broken tv in seat 6F on flight 1818 today? Planned to catch the @cavs game!!! Nooooo
positive,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos."
